,prof_name
0,Психолог-консультант
1,R-разработчик
2,Руководитель отдела кадров
3,Аналитик BI
4,Оператор дрона
5,Product Marketing Manager
6,Data Engineer
7,event-менеджер
8,Специалист по Machine Learning
9,Музыкальный продюсер
10,пчеловод
11,Фитнес-инструктор
12,Мобильный разработчик
13,Финансовый аналитик
14,Менеджер проектов
15,Node.js-разработчик
16,Режиссёр
17,Разработчик на C#
18,Специалист в области финансов и аналитики
19,Психолог-диагност
20,Frontend-разработчик
21,Спортивный менеджер
22,3D-дженералист
23,Педагог-библиотекарь
24,Менеджер бизнес‑процессов
25,Педагог-хореограф
26,3D-художник по окружению
27,Objective-C-разработчик
28,Коммерческий редактор
29,Косметик
30,Продуктовый Аналитик
31,Юрист in-house
32,Spark-разработчик
33,Программист
34,Рекламный иллюстратор
35,Менеджер кол-центра
36,PHP-разработчик
37,digital-художник
38,Рекрутер
39,Социальный педагог
40,Автоматизатор тестирования на Java
41,Кредитный аналитик
42,Event-менеджер
43,Менеджер по персоналу
44,Режиссёр видеомонтажа
45,HR бизнес-партнёр
46,Маркетолог-разработчик
47,Разработчик VR
48,Тестировщик на Java
49,Директор по развитию
50,Дизайнер украшений
51,Специалист по охране труда
52,Разработчик приложений
53,Чертёжник-проектировщик
54,Аналитик
55,Инструктор по детскому фитнесу
56,Нарративный дизайнер
57,Руководитель отдела продаж
58,риэлтор
59,Битмейкер
60,Веб-разработчик
61,Инструктор-методист
62,предприниматель
63,Менеджер по продажам
64,C-разработчик
65,проектировщик
66,Администратор Linux
67,Арт-терапевт
68,Rust-разработчик
69,SEO-специалист
70,Оператор
71,Графический дизайнер
72,преподаватель
73,Садовник
74,Заведующий хозяйством
75,3D-художник
76,Менеджер по работе с клиентами
77,педагог–психолог
78,Актер дубляжа
79,Мастер презентаций
80,Менеджер продуктов
81,Sound designer
82,VFX-художник
83,режиссёр
84,Игровой аналитик
85,Motion-дизайнер
86,Помощник воспитателя
87,Категорийный менеджмент
88,сметчик
89,журналист
90,Фитнес-тренер
91,Мидл Python-разработчик
92,Бренд-менеджер
93,Программист на Bash
94,Художник по спецэффектам
95,digital-иллюстратор
96,Digital-художник
97,IT-ментор
98,Специалист по ИИ
99,Дизайнер цифровых продуктов
100,Разработчик баз данных
101,C#-разработчик
102,IT-рекрутер
103,коуч
104,Специалист по Data Science
105,Семейный психолог 
106,Backend разработчик
107,HR специалист
108,2D-художник
109,Копирайтер-маркетолог
110,Юрист
111,Технический администратор онлайн‑школы
112,Контент-менеджер
113,Финансист
114,Управляющий рестораном
115,Kotlin-разработчик
116,Инструктор
117,UX/UI-дизайнер
118,Аналитик 1С
119,Дизайнер сайтов
120,Директор клиентского сервиса
121,Менеджер ресторана
122,Программист на Scratch
123,Рекламный фотограф
124,C++-разработчик
125,Организатор-методист дошкольного образования
126,Учитель начальных классов
127,Специалист в UE4
128,QA-инженер
129,Инженер IoT
130,Художник спецэффектов
131,Дата-журналист
132,Методист онлайн-курсов
133,психолог-консультант
134,Разработчик машинного обучения
135,Директор по маркетингу
136,Веб-дизайнер
137,Ландшафтный дизайнер
138,Сценарист
139,Тестировщик
140,Руководитель
141,Скрам-мастер
142,Проектировщик интерфейсов
143,музыкант
144,Scala-разработчик
145,BI-аналитик
146,IT-руководитель
147,Аналитик в Excel
148,SMM-специалист
149,Инженер по ручному тестированию
150,Менеджер игровых проектов
151,UX-разработчик
152,2D-дизайнер
153,IT-юрист
154,SMM-менеджер
155,Специалист в области финансовых технологий
156,Project-менеджер
157,DevOps-инженер
158,Аналитик данных
159,Асинхронный программист на Python
160,-
161,Android-разработчик
162,NLP-инженер
163,Продюсер
164,Астролог
165,Заместитель директора
166,HR директор
167,Саунд-дизайнер
168,Игропрактик
169,Контент-маркетолог
170,Стилист по волосам
171,Финансовый менеджер
172,Clojure-разработчик
173,Советник директора
174,Дизайнер презентаций
175,Python-разработчик
176,Маркетолог-аналитик
177,Кинолог
178,Тренер по адаптивной физической культуре
179,Владелец интернет-бизнеса
180,Медицинский логопед
181,Генеральный директор
182,Руководитель контрактной службы
183,Тестировщица ПО
184,Тренд-аналитик
185,Секретарь
186,React-разработчик
187,Machine Learning Engineer
188,тестировщик на JavaScript
189,педагог-дефектолог
190,Предприниматель
191,HR‑специалист
192,Go-разработчик
193,Санитар
194,Веб-аналитик
195,Менеджер по онлайн-обучению и развитию персонала
196,Сценарист видеоигр
197,экспортёр
